TimeStamp,DNI,GHI
2015-01-01 00:00:00,0,0
2015-01-01 01:00:00,0,0
2015-01-01 02:00:00,0,0
2015-01-01 03:00:00,0,0
2015-01-01 04:00:00,0,0
2015-01-01 05:00:00,0,0
2015-01-01 06:00:00,236,88
2015-01-01 07:00:00,407,251
2015-01-01 08:00:00,375,402
2015-01-01 09:00:00,78,367
2015-01-01 10:00:00,154,554
2015-01-01 11:00:00,6,288
2015-01-01 12:00:00,603,1002
2015-01-01 13:00:00,714,1020
2015-01-01 14:00:00,59,522
2015-01-01 15:00:00,5,216
2015-01-01 16:00:00,743,717
2015-01-01 17:00:00,669,476
2015-01-01 18:00:00,534,280
2015-01-01 19:00:00,238,94
2015-01-01 20:00:00,0,0
2015-01-01 21:00:00,0,0
2015-01-01 22:00:00,0,0
2015-01-01 23:00:00,0,0
2015-01-02 00:00:00,0,0
2015-01-02 01:00:00,0,0
2015-01-02 02:00:00,0,0
2015-01-02 03:00:00,0,0
2015-01-02 04:00:00,0,0
2015-01-02 05:00:00,0,0
2015-01-02 06:00:00,31,49
2015-01-02 07:00:00,620,286
2015-01-02 08:00:00,829,502
2015-01-02 09:00:00,220,459
2015-01-02 10:00:00,919,871
2015-01-02 11:00:00,981,986
2015-01-02 12:00:00,845,1034
2015-01-02 13:00:00,56,529
2015-01-02 14:00:00,835,961
2015-01-02 15:00:00,996,886
2015-01-02 16:00:00,924,704
2015-01-02 17:00:00,791,486
2015-01-02 18:00:00,735,311
2015-01-02 19:00:00,94,70
2015-01-02 20:00:00,0,0
2015-01-02 21:00:00,0,0
2015-01-02 22:00:00,0,0
2015-01-02 23:00:00,0,0
2015-01-03 00:00:00,0,0
2015-01-03 01:00:00,0,0
2015-01-03 02:00:00,0,0
2015-01-03 03:00:00,0,0
2015-01-03 04:00:00,0,0
2015-01-03 05:00:00,0,0
2015-01-03 06:00:00,300,87
2015-01-03 07:00:00,544,264
2015-01-03 08:00:00,810,493
2015-01-03 09:00:00,931,704
2015-01-03 10:00:00,960,868
2015-01-03 11:00:00,957,982
2015-01-03 12:00:00,941,1039
2015-01-03 13:00:00,927,1034
2015-01-03 14:00:00,850,975
2015-01-03 15:00:00,145,511
2015-01-03 16:00:00,97,344
2015-01-03 17:00:00,28,161
2015-01-03 18:00:00,12,66
2015-01-03 19:00:00,78,61
2015-01-03 20:00:00,0,0
2015-01-03 21:00:00,0,0
2015-01-03 22:00:00,0,0
2015-01-03 23:00:00,0,0
2015-01-04 00:00:00,0,0
2015-01-04 01:00:00,0,0
2015-01-04 02:00:00,0,0
2015-01-04 03:00:00,0,0
2015-01-04 04:00:00,0,0
2015-01-04 05:00:00,0,0
2015-01-04 06:00:00,32,41
2015-01-04 07:00:00,10,65
2015-01-04 08:00:00,7,99
2015-01-04 09:00:00,25,234
2015-01-04 10:00:00,44,377
2015-01-04 11:00:00,434,794
2015-01-04 12:00:00,912,1050
2015-01-04 13:00:00,981,1068
2015-01-04 14:00:00,979,1002
